ID
AT1G26680
AT5G22550
AT5G58580
AT3G20840 
AT2G03830
AT1G51190
AT3G50990
AT3G22620
AT2G40160
AT1G62510
AT3G12700
AT3G21670
AT3G26300
AT5G55250
AT1G12560
AT1G48930
AT1G69240
AT4G00680
AT5G65160
AT5G17430
AT1G01380
