ID
AT1G29940
AT1G29950
AT1G74150
AT1G80100
AT2G13540
AT2G25060
AT3G20430
AT3G22790
AT3G61100
AT4G02750
AT4G12620
AT5G06210
AT5G08260
AT5G63140
AT4G37650
